School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
00090,Tennessee,Anderson County School District,6426,18%,36%,29%-42%,25%,23%-28%,2%,1%-3%,14%,10%-18%,7%,5%-9%,0%,0%-1%
00120,Tennessee,Athens City Schools,2076,32%,47%,38%-57%,28%,23%-33%,1%,0%-2%,11%,6%-17%,8%,3%-13%,0%,0%-2%
00148,Tennessee,Shelby County School District,"131,700",34%,61%,59%-62%,30%,29%-31%,3%,2%-3%,29%,27%-30%,7%,6%-7%,3%,3%-4%
00149,Tennessee,Collierville School District,"10,085",9%,21%,14%-28%,26%,23%-29%,2%,1%-3%,5%,1%-9%,4%,2%-5%,1%,0%-2%
00150,Tennessee,Millington Municipal School District,2763,24%,47%,34%-60%,30%,25%-34%,0%,0%-1%,20%,10%-30%,10%,5%-15%,0%,0%-2%
00151,Tennessee,Germantown Municipal School District,7632,4%,16%,12%-20%,24%,22%-27%,0%,0%-1%,3%,1%-6%,4%,2%-6%,1%,0%-2%
00152,Tennessee,Arlington Community School District,3497,8%,14%,8%-20%,27%,23%-31%,0%,0%-2%,5%,2%-9%,5%,3%-7%,0%,0%-1%
00153,Tennessee,Bartlett City School District,"10,441",13%,25%,21%-30%,26%,24%-28%,1%,1%-2%,5%,2%-8%,5%,3%-6%,0%,0%-1%
00154,Tennessee,Lakeland School System District,2754,11%,17%,9%-25%,27%,22%-32%,1%,0%-2%,3%,0%-6%,2%,0%-5%,0%,0%-1%
00180,Tennessee,Bedford County School District,9078,20%,33%,29%-38%,26%,23%-28%,4%,3%-5%,22%,17%-27%,6%,4%-8%,4%,1%-7%
00210,Tennessee,Bells City School District,863,25%,51%,33%-69%,28%,21%-34%,6%,2%-10%,14%,1%-26%,6%,1%-12%,0%,0%-3%
00240,Tennessee,Benton County School District,2337,28%,37%,29%-45%,28%,24%-32%,2%,1%-3%,17%,11%-23%,16%,9%-22%,0%,0%-2%
00270,Tennessee,Bledsoe County School District,1706,33%,22%,16%-27%,18%,14%-23%,2%,1%-4%,23%,16%-30%,9%,5%-13%,2%,0%-4%
00300,Tennessee,Blount County School District,"12,698",13%,25%,21%-29%,30%,28%-31%,2%,1%-2%,12%,9%-14%,4%,3%-5%,0%,0%-1%
00330,Tennessee,Bradley County School District,"10,469",17%,28%,23%-34%,25%,23%-27%,2%,1%-3%,12%,8%-16%,9%,6%-11%,1%,0%-3%
00360,Tennessee,Bristol City School District,4100,26%,37%,31%-43%,32%,29%-35%,2%,1%-3%,7%,3%-10%,6%,3%-8%,1%,0%-3%
00420,Tennessee,Campbell County School District,6029,25%,34%,29%-39%,27%,24%-29%,1%,0%-2%,29%,23%-35%,8%,5%-11%,0%,0%-1%
00450,Tennessee,Cannon County School District,2233,20%,24%,17%-31%,25%,21%-29%,2%,1%-4%,24%,16%-32%,5%,2%-7%,0%,0%-2%
00510,Tennessee,Carter County School District,6240,28%,38%,32%-44%,26%,24%-29%,2%,1%-2%,25%,19%-32%,5%,3%-7%,0%,0%-1%
00570,Tennessee,Cheatham County School District,6959,12%,33%,28%-38%,24%,22%-27%,2%,1%-3%,11%,8%-14%,6%,4%-8%,1%,0%-3%
00600,Tennessee,Chester County School District,2889,20%,34%,23%-44%,28%,24%-32%,1%,0%-2%,10%,5%-15%,7%,3%-11%,0%,0%-1%
00630,Tennessee,Claiborne County School District,4407,28%,32%,26%-38%,22%,19%-25%,2%,1%-2%,30%,23%-37%,4%,2%-6%,0%,0%-1%
00660,Tennessee,Clay County School District,1141,28%,33%,25%-42%,22%,16%-28%,2%,0%-4%,22%,11%-34%,6%,2%-10%,0%,0%-3%
00690,Tennessee,Cleveland City School District,6749,22%,44%,37%-50%,35%,32%-38%,3%,2%-4%,17%,13%-22%,7%,5%-9%,9%,5%-12%
00720,Tennessee,Clinton City School District,1446,23%,25%,15%-35%,26%,19%-33%,1%,0%-2%,18%,6%-30%,7%,2%-12%,0%,0%-2%
00750,Tennessee,Cocke County School District,4270,33%,53%,44%-61%,31%,28%-35%,1%,0%-2%,36%,28%-44%,9%,6%-12%,0%,0%-1%
00780,Tennessee,Coffee County School District,4694,20%,30%,23%-37%,27%,23%-30%,3%,2%-4%,26%,19%-32%,5%,3%-7%,0%,0%-1%
00850,Tennessee,Crockett County School District,1162,22%,35%,28%-41%,22%,18%-25%,3%,1%-5%,27%,19%-35%,6%,3%-10%,2%,0%-6%
00900,Tennessee,Cumberland County School District,7738,21%,41%,35%-48%,29%,26%-31%,2%,1%-3%,16%,12%-20%,10%,7%-12%,4%,1%-6%
00930,Tennessee,Dayton City Elementary School District,1140,32%,42%,20%-64%,25%,18%-32%,5%,1%-9%,19%,5%-32%,12%,4%-20%,0%,0%-3%
00960,Tennessee,Decatur County School District,1883,22%,29%,19%-38%,25%,20%-29%,1%,0%-1%,15%,9%-21%,7%,4%-10%,1%,0%-3%
00990,Tennessee,DeKalb County School District,3152,22%,30%,23%-38%,22%,18%-26%,3%,1%-4%,19%,12%-26%,4%,2%-6%,0%,0%-1%
01020,Tennessee,Dickson County School District,9065,17%,23%,18%-28%,27%,24%-29%,2%,2%-3%,14%,10%-17%,7%,4%-9%,0%,0%-1%
01050,Tennessee,Dyer County School District,3864,19%,23%,16%-29%,23%,19%-26%,3%,2%-5%,12%,6%-18%,6%,3%-8%,0%,0%-1%
01080,Tennessee,Dyersburg City School District,2895,32%,56%,41%-70%,30%,25%-35%,2%,1%-4%,18%,10%-26%,4%,1%-7%,0%,0%-1%
01110,Tennessee,Elizabethton City School District,1953,30%,42%,31%-53%,36%,32%-40%,1%,0%-1%,20%,12%-27%,10%,6%-14%,1%,0%-4%
01140,Tennessee,Etowah City School District,684,25%,17%,5%-29%,34%,22%-45%,2%,0%-5%,14%,4%-24%,2%,0%-6%,0%,0%-4%
01170,Tennessee,Fayette County School District,5820,19%,34%,30%-38%,25%,23%-27%,1%,0%-1%,16%,12%-20%,7%,4%-10%,1%,0%-2%
01200,Tennessee,Fayetteville City School District,1014,26%,59%,43%-74%,34%,25%-43%,2%,0%-5%,26%,15%-36%,14%,4%-24%,0%,0%-3%
01230,Tennessee,Fentress County School District,2847,27%,24%,16%-32%,26%,22%-30%,2%,1%-4%,15%,10%-21%,9%,3%-15%,0%,0%-1%
01260,Tennessee,Franklin Special School District,5845,7%,30%,22%-37%,37%,34%-40%,3%,2%-5%,7%,3%-10%,3%,1%-5%,7%,4%-10%
01290,Tennessee,Franklin County School District,6097,19%,28%,22%-34%,25%,23%-28%,1%,1%-2%,19%,15%-22%,10%,7%-13%,1%,0%-2%
01390,Tennessee,Bradford Special School District,543,14%,37%,22%-53%,32%,25%-39%,1%,0%-3%,7%,1%-13%,2%,0%-4%,0%,0%-4%
01400,Tennessee,Gibson County School District,4181,13%,29%,21%-37%,27%,23%-31%,2%,1%-3%,18%,11%-26%,5%,3%-7%,0%,0%-1%
01410,Tennessee,Giles County School District,4454,21%,37%,31%-43%,22%,20%-25%,2%,1%-3%,21%,16%-26%,4%,2%-6%,2%,0%-3%
01440,Tennessee,Grainger County School District,3701,22%,26%,18%-34%,25%,22%-28%,2%,1%-4%,23%,16%-29%,13%,9%-16%,0%,0%-2%
01470,Tennessee,Greene County School District,7655,21%,34%,28%-40%,26%,23%-28%,1%,1%-2%,16%,12%-21%,9%,6%-11%,0%,0%-1%
01500,Tennessee,Greeneville City School District,2372,23%,51%,35%-68%,32%,26%-37%,2%,0%-3%,24%,14%-34%,24%,10%-37%,0%,0%-2%
01530,Tennessee,Grundy County School District,2199,26%,47%,37%-56%,22%,19%-25%,3%,1%-4%,24%,16%-32%,9%,6%-13%,0%,0%-2%
01590,Tennessee,Hamilton County School District,"54,063",15%,34%,31%-36%,29%,28%-30%,1%,1%-1%,12%,11%-14%,5%,4%-6%,2%,2%-3%
01620,Tennessee,Hancock County School District,1005,39%,27%,14%-40%,20%,16%-25%,2%,0%-3%,37%,26%-47%,2%,0%-4%,0%,0%-3%
01650,Tennessee,Hardeman County School District,4000,27%,49%,41%-57%,20%,17%-23%,1%,0%-2%,31%,23%-39%,5%,3%-7%,0%,0%-1%
01680,Tennessee,Hardin County School District,4051,25%,31%,25%-38%,26%,22%-29%,2%,1%-3%,21%,14%-28%,5%,3%-6%,0%,0%-1%
01740,Tennessee,Hawkins County School District,7771,24%,36%,32%-41%,24%,22%-27%,2%,1%-2%,25%,20%-29%,5%,4%-7%,0%,0%-1%
01770,Tennessee,Haywood County School District,3043,27%,51%,45%-58%,26%,23%-30%,2%,1%-3%,23%,15%-30%,8%,5%-11%,1%,0%-4%
01800,Tennessee,Henderson County School District,3474,21%,28%,19%-37%,24%,21%-28%,2%,1%-3%,19%,11%-27%,5%,3%-7%,0%,0%-1%
01830,Tennessee,Henry County School District,2804,24%,26%,20%-33%,27%,24%-31%,1%,0%-1%,20%,13%-26%,10%,6%-13%,1%,0%-3%
01860,Tennessee,Hickman County School District,3995,22%,33%,23%-43%,27%,23%-31%,1%,1%-2%,20%,13%-28%,3%,1%-6%,0%,0%-1%
01890,Tennessee,Hollow Rock-Bruceton Special School District,622,32%,33%,18%-48%,24%,18%-30%,3%,1%-5%,24%,12%-36%,6%,2%-9%,0%,0%-4%
01920,Tennessee,Houston County School District,1386,23%,27%,18%-36%,25%,20%-30%,1%,0%-2%,12%,6%-19%,9%,4%-13%,0%,0%-2%
01950,Tennessee,Humboldt City School District,975,35%,66%,55%-77%,24%,17%-31%,1%,0%-3%,26%,12%-39%,9%,0%-21%,0%,0%-3%
01980,Tennessee,Humphreys County School District,2809,17%,22%,15%-28%,24%,21%-28%,1%,0%-3%,16%,10%-21%,12%,7%-16%,0%,0%-1%
02010,Tennessee,Huntingdon Special School District,1100,30%,40%,17%-63%,26%,20%-33%,1%,0%-4%,18%,0%-36%,16%,6%-26%,0%,0%-3%
02070,Tennessee,Jackson County School District,1634,26%,37%,28%-46%,24%,20%-28%,2%,0%-3%,23%,15%-32%,8%,4%-11%,0%,0%-2%
02100,Tennessee,Jefferson County School District,8232,19%,26%,20%-31%,32%,30%-34%,2%,1%-3%,18%,13%-23%,9%,7%-12%,3%,1%-4%
02130,Tennessee,Johnson City School District,7776,19%,37%,31%-43%,35%,32%-37%,1%,1%-2%,9%,6%-13%,6%,4%-8%,0%,0%-1%
02160,Tennessee,Johnson County School District,2195,25%,18%,10%-27%,23%,20%-27%,1%,0%-2%,38%,27%-48%,11%,5%-16%,0%,0%-2%
02190,Tennessee,Kingsport City School District,7802,26%,39%,33%-44%,32%,30%-34%,2%,1%-2%,16%,11%-20%,9%,6%-11%,1%,0%-2%
02220,Tennessee,Knox County School District,"70,424",14%,31%,30%-33%,31%,31%-32%,1%,1%-2%,13%,12%-15%,5%,4%-5%,2%,1%-3%
02280,Tennessee,Lake County School District,820,38%,51%,36%-65%,23%,18%-27%,2%,0%-4%,24%,14%-34%,10%,4%-15%,0%,0%-4%
02310,Tennessee,Lauderdale County School District,4569,33%,52%,45%-59%,25%,22%-27%,4%,2%-5%,20%,15%-25%,11%,8%-14%,1%,0%-2%
02340,Tennessee,Lawrence County School District,7918,22%,28%,24%-32%,24%,22%-26%,3%,2%-4%,33%,26%-39%,6%,5%-8%,1%,0%-3%
02370,Tennessee,Lebanon Special School District,5628,13%,39%,32%-45%,37%,34%-40%,3%,2%-4%,11%,7%-15%,10%,7%-13%,1%,0%-2%
02400,Tennessee,Lenoir City School District,1434,18%,30%,16%-43%,32%,25%-40%,4%,2%-7%,28%,9%-46%,1%,0%-3%,14%,2%-27%
02430,Tennessee,Lewis County School District,2020,24%,42%,32%-53%,22%,17%-27%,2%,0%-4%,22%,13%-31%,5%,1%-8%,4%,0%-7%
02460,Tennessee,Lexington City School System,1450,26%,51%,37%-65%,29%,22%-36%,3%,0%-5%,17%,8%-27%,9%,3%-15%,0%,0%-2%
02490,Tennessee,Lincoln County School District,4805,15%,29%,23%-35%,25%,22%-28%,3%,1%-4%,19%,12%-25%,4%,2%-5%,0%,0%-1%
02520,Tennessee,Loudon County School District,6121,14%,23%,17%-29%,27%,24%-29%,2%,1%-3%,21%,15%-26%,6%,3%-8%,6%,2%-9%
02550,Tennessee,Macon County School District,4033,23%,25%,17%-33%,28%,24%-31%,2%,1%-3%,25%,18%-32%,5%,2%-8%,3%,0%-7%
02580,Tennessee,Jackson-Madison County School System,"16,020",25%,45%,41%-50%,31%,29%-33%,2%,1%-2%,21%,17%-24%,4%,3%-5%,1%,0%-2%
02610,Tennessee,Manchester City School District,1849,28%,31%,20%-41%,31%,25%-37%,2%,0%-4%,18%,8%-28%,8%,3%-12%,8%,0%-18%
02640,Tennessee,Marion County School District,4140,21%,35%,29%-42%,23%,21%-26%,2%,1%-3%,22%,16%-28%,9%,6%-12%,0%,0%-1%
02670,Tennessee,Marshall County School District,5765,18%,39%,32%-46%,22%,20%-25%,2%,1%-3%,18%,13%-24%,6%,4%-9%,3%,0%-5%
02700,Tennessee,Maryville City School District,5530,9%,26%,19%-34%,30%,27%-33%,1%,0%-2%,12%,7%-18%,3%,1%-5%,3%,1%-5%
02760,Tennessee,Maury County School District,"14,959",13%,35%,31%-40%,28%,26%-30%,2%,1%-3%,12%,9%-15%,5%,3%-6%,2%,0%-3%
02790,Tennessee,McKenzie Special School District,1208,25%,48%,28%-67%,27%,21%-33%,2%,0%-5%,19%,8%-31%,21%,10%-33%,0%,0%-3%
02820,Tennessee,McMinn County School District,5660,17%,25%,20%-31%,28%,25%-31%,2%,1%-3%,18%,12%-23%,7%,4%-9%,1%,0%-2%
02880,Tennessee,McNairy County School District,4359,20%,32%,26%-38%,27%,24%-30%,2%,1%-3%,20%,15%-25%,4%,2%-6%,0%,0%-1%
02910,Tennessee,Meigs County School District,1928,24%,25%,17%-34%,25%,20%-29%,2%,1%-3%,13%,9%-17%,6%,3%-9%,0%,0%-2%
02970,Tennessee,Milan Special School District,1845,20%,32%,18%-46%,27%,21%-33%,2%,1%-4%,10%,3%-16%,23%,14%-32%,0%,0%-2%
03000,Tennessee,Monroe County School District,5461,20%,25%,19%-32%,20%,17%-23%,3%,1%-4%,19%,14%-24%,11%,7%-14%,1%,0%-3%
03030,Tennessee,Clarksville-Montgomery County School System,"34,470",16%,34%,32%-37%,29%,27%-30%,2%,1%-2%,8%,7%-10%,7%,6%-8%,1%,0%-1%
03060,Tennessee,Moore County School District,923,13%,26%,11%-40%,23%,18%-29%,2%,0%-3%,27%,15%-40%,4%,0%-8%,3%,0%-8%
03090,Tennessee,Morgan County School District,3088,23%,39%,31%-47%,22%,19%-26%,3%,1%-4%,20%,13%-27%,4%,2%-6%,0%,0%-2%
03150,Tennessee,Murfreesboro City School District,"22,049",14%,32%,28%-36%,33%,31%-35%,2%,2%-3%,13%,10%-16%,5%,3%-6%,2%,1%-3%
03180,Tennessee,Metropolitan Nashville Public School District,"98,760",26%,44%,43%-46%,31%,30%-31%,3%,3%-3%,15%,14%-16%,5%,5%-6%,10%,9%-11%
03210,Tennessee,Newport City School District,1266,45%,50%,30%-70%,45%,34%-55%,1%,0%-4%,34%,18%-49%,12%,3%-22%,0%,0%-3%
03240,Tennessee,Oak Ridge City School District,4597,18%,36%,30%-41%,26%,24%-29%,2%,1%-3%,10%,6%-14%,9%,6%-12%,2%,0%-5%
03270,Tennessee,Obion County School District,3003,21%,26%,21%-31%,27%,24%-30%,3%,2%-4%,19%,13%-24%,7%,4%-10%,2%,0%-4%
03300,Tennessee,Oneida Special School District,387,33%,29%,3%-55%,21%,10%-32%,0%,0%-3%,34%,14%-55%,15%,0%-31%,0%,0%-6%
03330,Tennessee,Overton County School District,3690,19%,28%,22%-34%,27%,23%-30%,2%,1%-3%,13%,8%-17%,7%,4%-9%,0%,0%-1%
03360,Tennessee,Paris Special School District,2234,36%,49%,36%-62%,34%,28%-40%,2%,1%-3%,21%,12%-29%,5%,3%-8%,0%,0%-2%
03390,Tennessee,Perry County School District,1218,25%,27%,16%-39%,14%,10%-18%,3%,2%-5%,35%,24%-46%,11%,4%-18%,1%,0%-4%
03420,Tennessee,Pickett County School District,722,22%,20%,11%-30%,21%,15%-27%,2%,0%-4%,17%,5%-28%,8%,1%-15%,0%,0%-5%
03450,Tennessee,Polk County School District,2617,22%,27%,20%-34%,23%,19%-27%,2%,1%-4%,26%,18%-33%,6%,3%-8%,1%,0%-3%
03480,Tennessee,Putnam County School District,"11,512",17%,38%,33%-43%,32%,30%-34%,1%,1%-2%,14%,11%-17%,7%,6%-9%,3%,1%-4%
03510,Tennessee,Rhea County School District,4400,23%,42%,34%-51%,26%,22%-29%,1%,0%-1%,24%,18%-29%,6%,3%-9%,4%,2%-6%
03540,Tennessee,Richard City Special School District,243,33%,28%,15%-42%,32%,22%-42%,8%,0%-16%,32%,12%-53%,7%,0%-17%,0%,0%-10%
03590,Tennessee,Roane County School District,7121,22%,23%,18%-28%,29%,26%-31%,2%,1%-2%,20%,15%-25%,9%,5%-13%,0%,0%-1%
03600,Tennessee,Robertson County School District,"12,665",13%,32%,28%-36%,25%,24%-27%,2%,2%-3%,12%,9%-15%,8%,6%-10%,2%,1%-3%
03660,Tennessee,Rogersville City Schools,655,37%,60%,33%-88%,28%,18%-38%,6%,0%-11%,18%,6%-30%,13%,1%-25%,0%,0%-4%
03690,Tennessee,Rutherford County School District,"34,062",10%,32%,29%-35%,27%,26%-29%,2%,2%-2%,13%,10%-15%,6%,5%-7%,4%,3%-5%
03720,Tennessee,Scott County School District,3632,22%,41%,34%-49%,23%,19%-27%,1%,0%-1%,16%,10%-22%,10%,6%-13%,0%,0%-1%
03750,Tennessee,Sequatchie County School District,2397,23%,31%,22%-40%,27%,22%-31%,3%,1%-5%,20%,12%-28%,12%,7%-17%,1%,0%-3%
03780,Tennessee,Sevier County School District,"14,877",20%,37%,32%-42%,47%,44%-49%,3%,2%-4%,13%,10%-16%,7%,5%-9%,4%,2%-6%
03870,Tennessee,Smith County School District,3422,17%,38%,30%-45%,27%,24%-30%,2%,1%-3%,12%,8%-16%,7%,5%-10%,0%,0%-1%
03900,Tennessee,South Carroll Special School District,394,24%,20%,5%-36%,31%,22%-40%,1%,0%-3%,17%,4%-29%,2%,0%-5%,0%,0%-6%
03960,Tennessee,Stewart County School District,2036,21%,28%,16%-39%,30%,25%-34%,2%,0%-3%,20%,12%-28%,6%,3%-9%,0%,0%-2%
03990,Tennessee,Sullivan County School District,"11,307",20%,32%,27%-37%,29%,27%-31%,2%,1%-2%,8%,6%-11%,10%,8%-12%,0%,0%-1%
04020,Tennessee,Sumner County School District,"32,087",10%,30%,27%-33%,31%,30%-33%,1%,1%-2%,8%,6%-9%,6%,5%-7%,1%,0%-2%
04050,Tennessee,Sweetwater City School District,1842,24%,30%,19%-41%,30%,24%-37%,4%,1%-6%,18%,10%-27%,9%,5%-13%,0%,0%-2%
04080,Tennessee,Tipton County School District,"11,595",17%,38%,33%-42%,28%,25%-30%,2%,1%-2%,14%,10%-17%,8%,6%-10%,1%,0%-2%
04100,Tennessee,Trenton Special School District,1213,24%,47%,27%-66%,26%,19%-33%,1%,0%-2%,22%,8%-35%,6%,1%-11%,0%,0%-3%
04170,Tennessee,Trousdale County School District,1302,18%,44%,29%-59%,25%,18%-32%,0%,0%-2%,22%,11%-33%,7%,3%-11%,0%,0%-3%
04200,Tennessee,Tullahoma City School District,3522,26%,26%,18%-35%,26%,22%-30%,2%,1%-4%,22%,13%-30%,10%,5%-14%,2%,0%-4%
04230,Tennessee,Unicoi County School District,2514,21%,31%,22%-39%,26%,22%-30%,1%,0%-3%,22%,14%-30%,10%,5%-14%,0%,0%-2%
04260,Tennessee,Union City School District,1953,30%,39%,28%-49%,29%,23%-35%,1%,0%-2%,24%,15%-33%,6%,1%-10%,4%,0%-9%
04290,Tennessee,Union County School District,3156,25%,25%,19%-31%,25%,22%-28%,3%,2%-5%,35%,26%-44%,10%,6%-14%,0%,0%-1%
04320,Tennessee,Van Buren County School District,773,29%,18%,10%-26%,21%,16%-25%,2%,1%-4%,15%,5%-26%,14%,6%-21%,0%,0%-4%
04350,Tennessee,Warren County School District,7179,31%,39%,32%-45%,23%,21%-26%,2%,1%-3%,19%,14%-24%,9%,6%-11%,1%,0%-3%
04380,Tennessee,Washington County School District,"10,383",14%,25%,19%-30%,28%,26%-30%,1%,1%-2%,9%,6%-12%,6%,4%-8%,1%,0%-1%
04440,Tennessee,Wayne County School District,2277,24%,31%,23%-38%,20%,17%-24%,3%,1%-4%,22%,14%-30%,3%,2%-5%,0%,0%-2%
04470,Tennessee,Weakley County School District,4841,21%,36%,30%-43%,29%,27%-32%,1%,1%-2%,22%,17%-27%,7%,5%-8%,1%,0%-2%
04490,Tennessee,West Carroll Special District,922,24%,30%,17%-43%,26%,21%-31%,1%,0%-3%,24%,14%-34%,7%,3%-11%,0%,0%-4%
04500,Tennessee,White County School District,4361,22%,24%,18%-30%,26%,23%-29%,2%,1%-3%,26%,18%-34%,4%,2%-6%,0%,0%-1%
04530,Tennessee,Williamson County School District,"41,575",3%,13%,11%-15%,26%,25%-28%,1%,0%-1%,3%,2%-4%,3%,2%-3%,0%,0%-1%
04550,Tennessee,Wilson County School District,"18,200",8%,24%,20%-28%,31%,29%-33%,1%,1%-1%,6%,5%-8%,4%,3%-5%,2%,1%-3%
47001,Tennessee,Anderson County School District in Clinton,1446,0%,25%,15%-35%,26%,19%-33%,1%,0%-2%,18%,6%-30%,7%,2%-12%,0%,0%-2%
47002,Tennessee,Arlington Community Schools in Lakeland (9-12),2754,0%,17%,9%-25%,27%,22%-32%,1%,0%-2%,3%,0%-6%,2%,0%-5%,0%,0%-1%
47029,Tennessee,Cocke County School District in Newport,1266,0%,50%,30%-70%,45%,34%-55%,1%,0%-4%,34%,18%-49%,12%,3%-22%,0%,0%-3%
47031,Tennessee,Coffee County School District in Manchester,1849,0%,31%,20%-41%,31%,25%-37%,2%,0%-4%,18%,8%-28%,8%,3%-12%,8%,0%-18%
47033,Tennessee,Crockett County School District in Alamo,582,0%,23%,11%-35%,23%,16%-29%,2%,0%-4%,15%,5%-24%,6%,0%-12%,0%,0%-4%
47034,Tennessee,Crockett County School District in Bells,863,0%,51%,33%-69%,28%,21%-34%,6%,2%-10%,14%,1%-26%,6%,1%-12%,0%,0%-3%
47073,Tennessee,Hawkins County School District in Rogersville,655,0%,60%,33%-88%,28%,18%-38%,6%,0%-11%,18%,6%-30%,13%,1%-25%,0%,0%-4%
47077,Tennessee,Henderson County School District in Lexington,1450,0%,51%,37%-65%,29%,22%-36%,3%,0%-5%,17%,8%-27%,9%,3%-15%,0%,0%-2%
47079,Tennessee,Henry County School District in Paris,2234,0%,49%,36%-62%,34%,28%-40%,2%,1%-3%,21%,12%-29%,5%,3%-8%,0%,0%-2%
47107,Tennessee,McMinn County School District in Athens,2076,0%,47%,38%-57%,28%,23%-33%,1%,0%-2%,11%,6%-17%,8%,3%-13%,0%,0%-2%
47108,Tennessee,McMinn County School District in Etowah,684,0%,17%,5%-29%,34%,22%-45%,2%,0%-5%,14%,4%-24%,2%,0%-6%,0%,0%-4%
47123,Tennessee,Monroe County School District in Sweetwater,1842,0%,30%,19%-41%,30%,24%-37%,4%,1%-6%,18%,10%-27%,9%,5%-13%,0%,0%-2%
47143,Tennessee,Rhea County School District in Dayton,1140,0%,42%,20%-64%,25%,18%-32%,5%,1%-9%,19%,5%-32%,12%,4%-20%,0%,0%-3%
47149,Tennessee,Rutherford County School District in Murfreesboro,"22,049",0%,32%,28%-36%,33%,31%-35%,2%,2%-3%,13%,10%-16%,5%,3%-6%,2%,1%-3%
47187,Tennessee,Williamson County School District in Franklin,5845,0%,30%,22%-37%,37%,34%-40%,3%,2%-5%,7%,3%-10%,3%,1%-5%,7%,4%-10%
47189,Tennessee,Wilson County School District in Lebanon,5628,0%,39%,32%-45%,37%,34%-40%,3%,2%-4%,11%,7%-15%,10%,7%-13%,1%,0%-2%
00001,Texas,Crosbyton Consolidated Independent School District,379,46%,57%,35%-79%,26%,21%-32%,4%,0%-8%,26%,14%-39%,4%,0%-7%,0%,0%-7%
00002,Texas,Spur Independent School District,286,22%,23%,13%-33%,33%,23%-43%,4%,0%-8%,8%,0%-17%,8%,3%-14%,0%,0%-9%
00003,Texas,Rocksprings Independent School District,227,33%,3%,0%-8%,20%,6%-35%,4%,0%-12%,12%,1%-23%,0%,0%-8%,0%,0%-11%
00005,Texas,Blackwell Consolidated Independent School District,116,28%,48%,24%-72%,13%,1%-25%,0%,0%-7%,15%,0%-37%,1%,0%-12%,0%,0%-22%
00006,Texas,Aspermont Independent School District,245,16%,15%,6%-24%,18%,10%-26%,1%,0%-7%,10%,0%-20%,0%,0%-8%,0%,0%-11%
00007,Texas,Panther Creek Consolidated Independent School District,139,34%,31%,3%-58%,25%,15%-36%,0%,0%-7%,24%,2%-46%,9%,2%-17%,0%,0%-19%
00008,Texas,Dripping Springs Independent School District,6496,6%,16%,12%-20%,24%,22%-27%,2%,1%-2%,6%,3%-8%,5%,3%-8%,1%,0%-2%
00009,Texas,Wimberley Independent School District,1969,7%,22%,9%-34%,35%,27%-42%,2%,0%-4%,3%,0%-8%,6%,2%-9%,2%,0%-6%
00010,Texas,Hays Consolidated Independent School District,"19,487",10%,25%,22%-29%,28%,25%-30%,5%,4%-6%,15%,11%-19%,6%,5%-8%,4%,2%-6%
00011,Texas,Alvarado Independent School District,3762,17%,25%,18%-33%,36%,31%-40%,5%,3%-8%,20%,10%-30%,7%,2%-12%,1%,0%-3%
00012,Texas,Chisum Independent School District,721,29%,39%,22%-57%,22%,14%-30%,4%,0%-8%,26%,10%-42%,16%,4%-28%,0%,0%-4%
07350,Texas,College Station Independent School District,"14,399",12%,24%,20%-27%,29%,27%-30%,3%,2%-3%,10%,8%-13%,5%,4%-6%,5%,3%-7%
07380,Texas,Abbott Independent School District,222,9%,3%,0%-6%,22%,15%-29%,4%,0%-14%,9%,0%-22%,1%,0%-7%,0%,0%-12%
07410,Texas,Abernathy Independent School District,743,17%,16%,9%-22%,30%,24%-37%,4%,0%-8%,24%,13%-35%,2%,0%-4%,0%,0%-3%
07440,Texas,Abilene Independent School District,"15,822",26%,42%,39%-46%,32%,30%-34%,3%,2%-3%,26%,23%-29%,8%,6%-10%,2%,1%-4%
07470,Texas,Academy Independent School District,1619,10%,19%,11%-28%,23%,17%-29%,3%,1%-6%,10%,4%-15%,3%,1%-6%,0%,0%-2%
07500,Texas,Adrian Independent School District,15,15%,0%,0%-100%,19%,0%-47%,0%,0%-44%,11%,0%-100%,0%,0%-100%,0%,0%-100%
07530,Texas,Agua Dulce Independent School District,251,22%,32%,13%-51%,21%,14%-28%,4%,0%-10%,36%,19%-53%,3%,0%-10%,0%,0%-10%
07590,Texas,Alamo Heights Independent School District,5631,8%,24%,17%-30%,25%,21%-28%,2%,1%-3%,3%,1%-5%,2%,0%-3%,0%,0%-1%
07650,Texas,Alba-Golden Independent School District,1163,25%,20%,7%-33%,25%,17%-32%,1%,0%-3%,6%,1%-12%,8%,1%-15%,0%,0%-3%
07680,Texas,Albany Independent School District,430,14%,36%,12%-60%,35%,25%-44%,5%,0%-10%,2%,0%-6%,0%,0%-4%,1%,0%-6%
07710,Texas,Aldine Independent School District,"69,795",32%,45%,42%-48%,31%,29%-32%,8%,7%-9%,30%,27%-32%,4%,4%-5%,34%,32%-36%
07780,Texas,Aledo Independent School District,6875,6%,14%,9%-19%,23%,20%-26%,2%,1%-3%,2%,0%-4%,4%,2%-6%,2%,0%-5%
